experiment_id,market_cap_percentile,initial_investment,split_method,stocks_to_invest,min_zscore_rank,total_stocks,total_invested,total_final_value,remaining_cash,total_two_quarter_return_pct,total_annualized_return_pct,avg_two_quarter_return_pct,avg_annualized_return_pct,weighted_avg_two_quarter_return,weighted_avg_annualized_return,portfolio_sortino_ratio,avg_stock_sortino_ratio,max_drawdown_pct,positive_returns_pct,return_volatility,win_loss_ratio
1,0.05,10000,equal,5,5,1,9998.549766540527,21868.28887939453,1.4502334594726562,118.71460751813513,378.3607954181188,118.71460751813513,378.3607954181188,118.71460751813514,378.3607954181188,0.0,0.0,118.71460751813513,100.0,,inf
2,0.05,10000,equal,5,10,1,9998.549766540527,21868.28887939453,1.4502334594726562,118.71460751813513,378.3607954181188,118.71460751813513,378.3607954181188,118.71460751813514,378.3607954181188,0.0,0.0,118.71460751813513,100.0,,inf
3,0.05,10000,equal,5,15,2,9939.52518081665,17252.660469055176,60.47481918334961,73.57630425196693,201.28733397771393,73.60501154012877,221.73575681147207,73.57630425196693,221.6360822296196,0.0,0.0,28.495415562122428,100.0,63.7946024252674,inf
4,0.05,10000,equal,5,20,2,9939.52518081665,17252.660469055176,60.47481918334961,73.57630425196693,201.28733397771393,73.60501154012877,221.73575681147207,73.57630425196693,221.6360822296196,0.0,0.0,28.495415562122428,100.0,63.7946024252674,inf
5,0.05,10000,equal,5,25,3,9936.497062683104,17225.946784973145,63.50293731689453,73.36035703835555,200.5381339246611,73.27826122481318,213.82153110831015,73.36035703835556,214.155296790986,0.0,0.0,28.495415562122428,100.0,45.11314605084246,inf
6,0.05,10000,equal,5,30,3,9936.497062683104,17225.946784973145,63.50293731689453,73.36035703835555,200.5381339246611,73.27826122481318,213.82153110831015,73.36035703835556,214.155296790986,0.0,0.0,28.495415562122428,100.0,45.11314605084246,inf
7,0.05,10000,equal,5,35,3,9936.497062683104,17225.946784973145,63.50293731689453,73.36035703835555,200.5381339246611,73.27826122481318,213.82153110831015,73.36035703835556,214.155296790986,0.0,0.0,28.495415562122428,100.0,45.11314605084246,inf
8,0.05,10000,equal,5,40,3,9936.497062683104,17225.946784973145,63.50293731689453,73.36035703835555,200.5381339246611,73.27826122481318,213.82153110831015,73.36035703835556,214.155296790986,0.0,0.0,28.495415562122428,100.0,45.11314605084246,inf
9,0.05,10000,equal,5,45,3,9936.497062683104,17225.946784973145,63.50293731689453,73.36035703835555,200.5381339246611,73.27826122481318,213.82153110831015,73.36035703835556,214.155296790986,0.0,0.0,28.495415562122428,100.0,45.11314605084246,inf
10,0.05,10000,equal,5,50,3,9936.497062683104,17225.946784973145,63.50293731689453,73.36035703835555,200.5381339246611,73.27826122481318,213.82153110831015,73.36035703835556,214.155296790986,0.0,0.0,28.495415562122428,100.0,45.11314605084246,inf
11,0.05,10000,equal,10,5,1,9998.549766540527,21868.28887939453,1.4502334594726562,118.71460751813513,378.3607954181188,118.71460751813513,378.3607954181188,118.71460751813514,378.3607954181188,0.0,0.0,118.71460751813513,100.0,,inf
12,0.05,10000,equal,10,10,1,9998.549766540527,21868.28887939453,1.4502334594726562,118.71460751813513,378.3607954181188,118.71460751813513,378.3607954181188,118.71460751813514,378.3607954181188,0.0,0.0,118.71460751813513,100.0,,inf
13,0.05,10000,equal,10,15,2,9939.52518081665,17252.660469055176,60.47481918334961,73.57630425196693,201.28733397771393,73.60501154012877,221.73575681147207,73.57630425196693,221.6360822296196,0.0,0.0,28.495415562122428,100.0,63.7946024252674,inf
14,0.05,10000,equal,10,20,2,9939.52518081665,17252.660469055176,60.47481918334961,73.57630425196693,201.28733397771393,73.60501154012877,221.73575681147207,73.57630425196693,221.6360822296196,0.0,0.0,28.495415562122428,100.0,63.7946024252674,inf
15,0.05,10000,equal,10,25,3,9936.497062683104,17225.946784973145,63.50293731689453,73.36035703835555,200.5381339246611,73.27826122481318,213.82153110831015,73.36035703835556,214.155296790986,0.0,0.0,28.495415562122428,100.0,45.11314605084246,inf
16,0.05,10000,equal,10,30,3,9936.497062683104,17225.946784973145,63.50293731689453,73.36035703835555,200.5381339246611,73.27826122481318,213.82153110831015,73.36035703835556,214.155296790986,0.0,0.0,28.495415562122428,100.0,45.11314605084246,inf
17,0.05,10000,equal,10,35,3,9936.497062683104,17225.946784973145,63.50293731689453,73.36035703835555,200.5381339246611,73.27826122481318,213.82153110831015,73.36035703835556,214.155296790986,0.0,0.0,28.495415562122428,100.0,45.11314605084246,inf
18,0.05,10000,equal,10,40,3,9936.497062683104,17225.946784973145,63.50293731689453,73.36035703835555,200.5381339246611,73.27826122481318,213.82153110831015,73.36035703835556,214.155296790986,0.0,0.0,28.495415562122428,100.0,45.11314605084246,inf
19,0.05,10000,equal,10,45,3,9936.497062683104,17225.946784973145,63.50293731689453,73.36035703835555,200.5381339246611,73.27826122481318,213.82153110831015,73.36035703835556,214.155296790986,0.0,0.0,28.495415562122428,100.0,45.11314605084246,inf
20,0.05,10000,equal,10,50,3,9936.497062683104,17225.946784973145,63.50293731689453,73.36035703835555,200.5381339246611,73.27826122481318,213.82153110831015,73.36035703835556,214.155296790986,0.0,0.0,28.495415562122428,100.0,45.11314605084246,inf
21,0.05,10000,equal,15,5,1,9998.549766540527,21868.28887939453,1.4502334594726562,118.71460751813513,378.3607954181188,118.71460751813513,378.3607954181188,118.71460751813514,378.3607954181188,0.0,0.0,118.71460751813513,100.0,,inf
