
eps,per,ebitda,pbv,solvency,roe,fcf,prices,shares,incomplete,ticker,returns,date
6.259821838783072,21.734218824498264,130541000000.0,42.80747239780155,2.290884648855061,196.95887275023682,-65518000000.0,136.05233764648438,15943425000.0,False,AAPL,,2022-09-30
6.237596109751595,27.58509022734883,125820000000.0,43.05370943587197,2.426452776171993,156.07601454639075,-85213000000.0,172.0646514892578,15550061000.0,False,AAPL,0.2646945614146454,2023-09-30
6.200788977233652,37.401795140842275,134661000000.0,61.560924834451114,2.069141457662479,164.59350307287096,-58889000000.0,231.92063903808594,15116786000.0,False,AAPL,0.34786917028431596,2024-09-30
,,,23.014690333804598,10.193079584775086,,-29570000000.0,24.440021514892578,25060000000.0,False,NVDA,,2022-01-31
0.1771191445596874,110.20010859908226,5986000000.0,21.779741837961687,6.274874295291787,19.763811592235644,-27435000000.0,19.5185489654541,24661365720.0,False,NVDA,-0.20136940331413244,2023-01-31
1.2077922077922079,50.916180641420425,35583000000.0,35.256771741092464,6.182673313893331,69.24472986178975,-25499000000.0,61.49616622924805,24640000000.0,False,NVDA,2.1506525581430345,2024-01-31
2.977489071373126,40.31714336550196,86137000000.0,37.04052098879049,6.183908682883581,91.87288060811576,-27601000000.0,120.04385375976562,24477000000.0,False,NVDA,0.9520542681028439,2025-01-31
,,,11.207307802564443,3.8371090216865444,,-166263000000.0,250.0653076171875,7464000000.0,False,MSFT,,2022-06-30
9.736410118406889,34.38387543499347,105140000000.0,12.0648599348839,3.9556404766248354,35.088714643856406,-206384000000.0,334.7755126953125,7432000000.0,False,MSFT,0.33875232788309684,2023-06-30
11.855576237091645,38.1686227473251,133009000000.0,12.530048139908615,4.087950768641349,32.828137978299814,-246042000000.0,452.5110168457031,7434138859.0,False,MSFT,0.35168493418915214,2024-06-30
13.69814366424536,36.25262448834328,160165000000.0,10.74789799928663,4.383315158124319,29.647227341409522,-307470000000.0,496.5936584472656,7434000000.0,False,MSFT,0.09741783063945553,2025-06-30
5.593127537052771,39.224923432597656,123815000000.0,8.126720507516684,3.482642352770703,20.71825715984194,-276791000000.0,219.38999938964844,10593000000.0,False,AMZN,,2024-12-31
2.9302706346913223,51.165919932707865,89402000000.0,7.711321926700368,3.200725213289109,15.071207430340557,-229328000000.0,149.92999267578125,10383000000.0,False,AMZN,-0.3166051638958368,2023-12-31
-0.2657684046084749,-322.91272478853404,38352000000.0,6.018559170069018,2.9774507217184816,-1.8638346240490815,-218609000000.0,85.81999969482422,10242000000.0,False,AMZN,-0.4275995205281762,2022-12-31
3.2774066797642436,50.86857126050967,74393000000.0,12.276603215563997,2.9560752393403904,24.13396506202756,-197523000000.0,166.7169952392578,10180000000.0,False,AMZN,0.9426357006770354,2021-12-31
,,,7.5706953423002235,5.591371743393408,,-190921000000.0,143.85980224609375,13242420000.0,False,GOOGL,,2021-12-31
4.66744493734921,18.963168405972876,85160000000.0,4.439921043018791,5.270764790764791,23.41339246673746,-190994000000.0,88.5095443725586,12849000000.0,False,GOOGL,-0.38475138300864786,2022-12-31
5.92255216693419,23.169666159241025,97971000000.0,6.033635217222135,4.91837582809788,26.041096905557577,-206886000000.0,137.2235565185547,12460000000.0,False,GOOGL,0.5503814587605009,2023-12-31
8.199000900827123,23.013152762363703,135394000000.0,7.087493780876109,5.052130787011063,30.797578472025695,-220524000000.0,188.6848602294922,12211000000.0,False,GOOGL,0.3750179999450689,2024-12-31
,,,7.562083150743696,5.591371743393408,,-190921000000.0,143.69615173339844,13242420000.0,False,GOOG,,2021-12-31
4.66744493734921,19.087600517565544,85160000000.0,4.469054821660632,5.270764790764791,23.41339246673746,-190994000000.0,89.09032440185547,12849000000.0,False,GOOG,-0.3800089749992328,2022-12-31
5.92255216693419,23.404001479565963,97971000000.0,6.094658705071901,4.91837582809788,26.041096905557577,-206886000000.0,138.61141967773438,12460000000.0,False,GOOG,0.5558526765769363,2023-12-31
8.199000900827123,23.152240545517863,135394000000.0,7.130329450038013,5.052130787011063,30.797578472025695,-220524000000.0,189.8252410888672,12211000000.0,False,GOOG,0.369477648596362,2024-12-31
14.363371032469901,23.273731831460246,55274000000.0,7.337397178105125,7.853655074520937,31.526517669103693,-79202000000.0,334.28924560546875,2741000000.0,False,META,,2021-12-31
8.875286916602908,13.968643992193813,37690000000.0,2.577876119565172,6.8721601420853995,18.454734196145186,-99540000000.0,123.97572326660156,2614000000.0,False,META,-0.6291363694872827,2022-12-31
15.26669269816478,22.54373895940869,59052000000.0,5.75456430739424,7.184699624530663,25.526219575890526,-115372000000.0,344.1683349609375,2561000000.0,False,META,1.776094592493938,2023-12-31
24.604578248682753,23.741333905765007,86876000000.0,8.10629599896793,8.216871056078105,34.144231453648494,-135632000000.0,584.1455078125,2534487662.0,False,META,0.697266855995917,2024-12-31
1.7825104872539528,197.62016116286603,9625000000.0,36.16064693311046,3.1530575995940118,18.298055583159428,-28018000000.0,352.260009765625,3099000000.0,False,TSLA,,2021-12-31
3.97692793931732,27.181784564262827,17657000000.0,7.65095730073638,3.082781085027519,28.147369362920543,-37158000000.0,108.0999984741211,3164000000.0,False,TSLA,-0.6931244095915257,2022-12-31
4.709262166405024,52.75136303540841,14796000000.0,12.632399242713078,3.7087101711423403,23.947057508701345,-59947000000.0,248.4199981689453,3185000000.0,False,TSLA,1.2980573698011337,2023-12-31
2.2170398009950247,182.15279498213974,14708000000.0,17.81231643496573,4.2354533152909335,9.778777447094482,-72958000000.0,403.8399963378906,3216000000.0,False,TSLA,0.6256340041643804,2024-12-31
